Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;PI;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Advogado;PSDB;Apto;Eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Governador;PSD;Apto;Eleito;PR;SUL
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Governador;MDB;Apto;Eleito;PA;NORTE
2022;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Governador;PL;Apto;Eleito;RJ;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Administrador;PSD;Apto;Eleito;SE;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Servidor Público Federal;REPUBLICANOS;Apto;Eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Governador;UNIÃO;Apto;Eleito;MT;CENTRO-OESTE
2022;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Governador;PP;Apto;Eleito;RR;NORTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Governador;PSB;Apto;Eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PSB;Apto;Eleito;MA;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;Eleito;PB;NORDESTE
2022;Governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Médico;UNIÃO;Apto;Eleito;GO;CENTRO-OESTE
2022;Governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Governador;NOVO;Apto;Eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Senador;PL;Apto;Eleito;SC;SUL
2022;Governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;Eleito;RS;SUL
2022;Governador;Indígena;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;BA;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ACRE;Brasileira nata;Engenheiro;PP;Apto;Eleito;AC;NORTE
2022;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Governador;MDB;Apto;Eleito;AL;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Governador;UNIÃO;Apto;Eleito;AM;NORTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;CEARÁ;Brasileira nata;Deputado;PT;Apto;Eleito;CE;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Governador;MDB;Apto;Eleito;DF;CENTRO-OESTE
2022;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Governador;UNIÃO;Apto;Eleito;RO;NORTE
2022;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;TOCANTINS;Brasileira nata;Governador;REPUBLICANOS;Apto;Eleito;TO;NORTE
2022;Governador;Parda;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Servidor Público Estadual;SOLIDARIEDADE;Apto;Eleito;AP;NORTE
2022;Governador;Parda;Deferido;Solteiro(a);65 a 69 anos;Feminino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Pedagogo;PT;Apto;Eleito;RN;NORDESTE
2022;Presidente;Branca;Deferido;Casado(a);75 a 79 anos;Masculino;Ensino Fundamental completo;BRASIL;Brasileira nata;Torneiro Mecânico;PT;Apto;Eleito;BR;BR
2022;Vice-governador;Branca;Deferido;Casado(a);30 a 34 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Advogado;PP;Apto;Eleito;PB;NORDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Empresário;MDB;Apto;Eleito;GO;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Veterinário;MDB;Apto;Eleito;RS;SUL
2022;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Deputado;CIDADANIA;Apto;Eleito;PE;NORDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Advogado;NOVO;Apto;Eleito;MG;SUDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Deputado;PT;Apto;Eleito;RN;NORDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Feminino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Deputado;PP;Apto;Eleito;DF;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Administrador;UNIÃO;Apto;Eleito;RO;NORTE
2022;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;PARÁ;Brasileira nata;Servidor Público Estadual;MDB;Apto;Eleito;PA;NORTE
2022;Vice-governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Administrador;PSD;Apto;Eleito;SP;SUDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Feminino;Superior completo;SANTA CATARINA;Brasileira nata;Aposentado (Exceto Servidor Público);PL;Apto;Eleito;SC;SUL
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Deputado;PP;Apto;Eleito;MS;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior incompleto;ESPÍRITO SANTO;Brasileira nata;Empresário;PSDB;Apto;Eleito;ES;SUDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Deputado;MDB;Apto;Eleito;PI;NORDESTE
2022;Vice-governador;Branca;Deferido;Casado(a);80 a 84 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Empresário;PSD;Apto;Eleito;PR;SUL
2022;Vice-governador;Branca;Deferido;Divorciado(a);35 a 39 anos;Feminino;Superior completo;CEARÁ;Brasileira nata;Outros;MDB;Apto;Eleito;CE;NORDESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Empresário;PDT;Apto;Eleito;SE;NORDESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);60 a 64 anos;Masculino;Ensino Fundamental completo;MATO GROSSO;Brasileira nata;Produtor Agropecuário;REPUBLICANOS;Apto;Eleito;MT;CENTRO-OESTE
2022;Vice-governador;Branca;Deferido;Divorciado(a);70 a 74 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Engenheiro;PDT;Apto;Eleito;AL;NORDESTE
2022;Vice-governador;Branca;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior incompleto;RIO DE JANEIRO;Brasileira nata;Deputado;UNIÃO;Apto;Eleito;RJ;SUDESTE
2022;Vice-governador;Branca;Deferido;Viúvo(a);65 a 69 anos;Masculino;Superior completo;TOCANTINS;Brasileira nata;Agricultor;PDT;Apto;Eleito;TO;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;MA;NORDESTE
2022;Vice-governador;Parda;Deferido;Casado(a);45 a 49 anos;Feminino;Ensino Médio completo;ACRE;Brasileira nata;Senador;PP;Apto;Eleito;AC;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Engenheiro;REPUBLICANOS;Apto;Eleito;RR;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Advogado;AVANTE;Apto;Eleito;AM;NORTE
2022;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Vereador;MDB;Apto;Eleito;BA;NORDESTE
2022;Vice-governador;Parda;Deferido;Solteiro(a);35 a 39 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Servidor Público Federal;PDT;Apto;Eleito;AP;NORTE
2022;Vice-presidente;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASIL;Brasileira nata;Médico;PSB;Apto;Eleito;BR;BR
2018;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Governador;MDB;Apto;Eleito;AL;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Empresário;PSD;Apto;Eleito;PR;SUL
2018;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;ACRE;Brasileira nata;Senador;PP;Apto;Eleito;AC;NORTE
2018;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Advogado;MDB;Apto;Eleito;DF;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Governador;PSB;Apto;Eleito;PE;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;CEARÁ;Brasileira nata;Agrônomo;PT;Apto;Eleito;CE;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MATO GROSSO;Brasileira nata;Empresário;DEM;Apto;Eleito;MT;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Advogado;PSC;Apto;Eleito;RJ;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;RONDÔNIA;Brasileira nata;Militar Reformado;PSL;Apto;Eleito;RO;NORTE
2018;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;SANTA CATARINA;Brasileira nata;Bombeiro Militar;PSL;Apto;Eleito;SC;SUL
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;TOCANTINS;Brasileira nata;Governador;PHS;Apto;Eleito;TO;NORTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Outros;PSB;Apto;Eleito;ES;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;SERGIPE;Brasileira nata;Governador;PSD;Apto;Eleito;SE;NORDESTE
2018;Governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior incompleto;MATO GROSSO DO SUL;Brasileira nata;Governador;PSDB;Apto;Eleito;MS;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Empresário;PSDB;Apto;Eleito;SP;SUDESTE
2018;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Médico;DEM;Apto;Eleito;GO;CENTRO-OESTE
2018;Governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;PARAÍBA;Brasileira nata;Engenheiro;PSB;Apto;Eleito;PB;NORDESTE
2018;Governador;Branca;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Empresário;NOVO;Apto;Eleito;MG;SUDESTE
2018;Governador;Branca;Deferido;Divorciado(a);50 a 54 anos;Masculino;Superior completo;RORAIMA;Brasileira nata;Empresário;PSL;Apto;Eleito;RR;NORTE
2018;Governador;Branca;Deferido;Solteiro(a);30 a 34 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Outros;PSDB;Apto;Eleito;RS;SUL
2018;Governador;Parda;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;PARÁ;Brasileira nata;Administrador;MDB;Apto;Eleito;PA;NORTE
2018;Governador;Parda;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Jornalista e Redator;PSC;Apto;Eleito;AM;NORTE
2018;Governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PC do B;Apto;Eleito;MA;NORDESTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Governador;PDT;Apto;Eleito;AP;NORTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Economista;PT;Apto;Eleito;BA;NORDESTE
2018;Governador;Parda;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Governador;PT;Apto;Eleito;PI;NORDESTE
2018;Governador;Parda;Deferido;Solteiro(a);60 a 64 anos;Feminino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Outros;PT;Apto;Eleito;RN;NORDESTE
2018;Presidente;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASIL;Brasileira nata;Membro das Forças Armadas;PSL;Apto;Eleito;BR;BR
2018;Vice-governador;Branca;Deferido;Casado(a);30 a 34 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Deputado;PROS;Apto;Eleito;GO;CENTRO-OESTE
